model,auc_mean,auc_std,logloss,logloss_std,precision,precision_std,recall,recall_std,brier,brier_std,avg_abs_diff
K-NN,0.9761867104996501,0.007516655958916779,0.9761867104996501,0.007516655958916779,0.9761867104996501,0.007516655958916779,0.9761867104996501,0.007516655958916779,0.9761867104996501,0.007516655958916779,0.1611919581631425
MLP,0.9841372264617132,0.005206705962355966,0.9841372264617132,0.005206705962355966,0.9841372264617132,0.005206705962355966,0.9841372264617132,0.005206705962355966,0.9841372264617132,0.005206705962355966,0.16102473019616959
DT,0.9564592319893718,0.012066221617181903,0.9564592319893718,0.012066221617181903,0.9564592319893718,0.012066221617181903,0.9564592319893718,0.012066221617181903,0.9564592319893718,0.012066221617181903,0.16868154236707367
AdaBoost DT,0.9535739965821077,0.010488079357314044,0.9535739965821077,0.010488079357314044,0.9535739965821077,0.010488079357314044,0.9535739965821077,0.010488079357314044,0.9535739965821077,0.010488079357314044,0.1699010504728181
SVM,0.9857017558231173,0.00528357196172829,0.9857017558231173,0.00528357196172829,0.9857017558231173,0.00528357196172829,0.9857017558231173,0.00528357196172829,0.9857017558231173,0.00528357196172829,0.16042049964973015
Logistic Reg,0.9907307528994966,0.006049356236872874,0.9907307528994966,0.006049356236872874,0.9907307528994966,0.006049356236872874,0.9907307528994966,0.006049356236872874,0.9907307528994966,0.006049356236872874,0.14989809004060126
LDA,0.9791669364351515,0.004774536627786725,0.9791669364351515,0.004774536627786725,0.9791669364351515,0.004774536627786725,0.9791669364351515,0.004774536627786725,0.9791669364351515,0.004774536627786725,0.16252130032686182
Ridge Reg,0.9790208959116145,0.004720728120284621,0.9790208959116145,0.004720728120284621,0.9790208959116145,0.004720728120284621,0.9790208959116145,0.004720728120284621,0.9790208959116145,0.004720728120284621,0.16239233488732657
RF,0.9930578718491324,0.004672728841105753,0.9930578718491324,0.004672728841105753,0.9930578718491324,0.004672728841105753,0.9930578718491324,0.004672728841105753,0.9930578718491324,0.004672728841105753,0.14161978453560023
ET,0.9929074718514442,0.005079792025058567,0.9929074718514442,0.005079792025058567,0.9929074718514442,0.005079792025058567,0.9929074718514442,0.005079792025058567,0.9929074718514442,0.005079792025058567,0.1444652199644609
QDA,0.9862709117239667,0.004163060003489343,0.9862709117239667,0.004163060003489343,0.9862709117239667,0.004163060003489343,0.9862709117239667,0.004163060003489343,0.9862709117239667,0.004163060003489343,0.16000977936366617
