,model,min_score,max_score,mean_score,std_score,C,algorithm,alpha,base_estimator,early_stopping,gamma,hidden_layer_sizes,kernel,learning_rate,max_depth,max_iter,metric,n_estimators,n_neighbors,solver,weights
395,Random Forest,0.946280991736,0.99173553719,0.969110294868,0.0114194802057,,,,,,,,,,,,,100,,,
396,Random Forest,0.942148760331,0.99173553719,0.967050981192,0.0122491437898,,,,,,,,,,,,,3000,,,
394,Random Forest,0.95041322314,0.99173553719,0.965819814305,0.0106014015248,,,,,,,,,,,,,32,,,
393,Random Forest,0.938016528926,0.99173553719,0.964580144883,0.0143200247001,,,,,,,,,,,,,16,,,
403,Extra Trees,0.946280991736,0.98347107438,0.964168622249,0.0109196487537,,,,,,,,,,,,,3000,,,
413,Extra Trees,0.942148760331,0.979423868313,0.963753698602,0.0105760344369,,,,,,,,,,20,,,32,,,
402,Extra Trees,0.942148760331,0.987603305785,0.963345576982,0.0124377096967,,,,,,,,,,,,,100,,,
415,Extra Trees,0.942148760331,0.979423868313,0.963342175968,0.0115909265768,,,,,,,,,,20,,,3000,,,
401,Extra Trees,0.929752066116,0.979338842975,0.962514029181,0.013261314866,,,,,,,,,,,,,32,,,
414,Extra Trees,0.938016528926,0.98347107438,0.961696085433,0.0112425470764,,,,,,,,,,20,,,100,,,
400,Extra Trees,0.933884297521,0.98347107438,0.960871339659,0.0130901492879,,,,,,,,,,,,,16,,,
412,Extra Trees,0.933884297521,0.979338842975,0.959223548617,0.0125839945753,,,,,,,,,,20,,,16,,,
411,Extra Trees,0.925619834711,0.971074380165,0.953866952352,0.0132950408404,,,,,,,,,,10,,,3000,,,
409,Extra Trees,0.925619834711,0.97520661157,0.952634084957,0.0149059484589,,,,,,,,,,10,,,32,,,
410,Extra Trees,0.925619834711,0.971074380165,0.952632384451,0.0130921069417,,,,,,,,,,10,,,100,,,
408,Extra Trees,0.917355371901,0.979338842975,0.946459544944,0.01660597781,,,,,,,,,,10,,,16,,,
397,Decision Tree,0.921810699588,0.962962962963,0.941099547665,0.0113834570191,,,,,,,,,,10,,,,,,
398,Decision Tree,0.917355371901,0.9670781893,0.93944325409,0.013974123516,,,,,,,,,,20,,,,,,
417,Logistic Reg,0.900826446281,0.962809917355,0.934923307146,0.0194215149996,,,,,,,,,,,,,,,,
399,Decision Tree,0.896694214876,0.950617283951,0.934503281978,0.0171896155372,,,,,,,,,,30,,,,,,
