kepid_plnt,koi_disposition,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,tce_period,tce_prad,tce_model_snr
10797460.01,CONFIRMED,0.9574271077563153,2.438,19.91,3.2230000000000003,0.002,0.1015,28.47,2.263,9.48803,2.929,31.18
10797460.02,CONFIRMED,0.9622504486493839,1.281,13.94,-3.285,0.003,0.1538,20.11,0.9397,54.4184,2.969,20.69
10848459.01,FALSE POSITIVE,0.0,1.735,285.2,37.7,0.0,0.004922,541.9,-12.63,1.73695,9.366,530.4
10854555.01,CONFIRMED,0.0,2.45,26.0,2.2159999999999997,0.733,0.06738,33.19,0.8207,2.52562,2.6889999999999996,37.31
10872983.01,CONFIRMED,0.9541738631895749,2.5580000000000003,35.96,8.615,,0.055760000000000004,55.2,1.61,11.0943,3.965,59.64
10872983.02,CONFIRMED,0.9558498967253088,3.3930000000000002,24.12,4.802,,0.07712999999999999,33.55,1.7730000000000001,4.1344199999999995,3.052,37.73
10872983.03,CONFIRMED,0.9549435053684854,1.374,5.768,-0.5092,,0.315,12.33,0.5106,2.56658,1.561,13.29
6721123.01,FALSE POSITIVE,0.0,5.604,-22.76,67.37,0.0,0.05861,46.15,0.4281,7.361789999999999,5.94,47.53
10910878.01,CONFIRMED,0.9555330859059161,1.608,72.08,21.91,0.063,0.02248,137.4,1.473,16.0686,6.21,133.2
10910878.02,CONFIRMED,0.9444002816030383,2.356,23.47,4.002,0.12300000000000001,0.09062,37.88,2.326,41.196999999999996,4.947,38.71
10910878.03,CONFIRMED,0.9548637106321807,2.4859999999999998,20.3,5.19,0.23600000000000002,0.07335,35.96,1.331,6.25296,2.866,37.99
11446443.01,CONFIRMED,0.0,5.143,3778.0,278.8,0.0,0.0004789,6468.0,-130.8,2.4706099999999998,13.24,6930.0
10666592.01,CONFIRMED,0.0,34.46,0.0,0.0,,0.004854,3862.0,-72.4,2.20473,16.78,3565.0
6922244.01,CONFIRMED,0.0,3.625,934.6,214.4,0.0,0.001338,1726.0,-28.98,3.5225,14.89,1687.0
10984090.02,CONFIRMED,0.9540568321135878,2.878,26.93,4.047,0.009000000000000001,0.06813,41.29,1.6909999999999998,3.70919,1.365,44.92
10984090.01,CONFIRMED,0.964901281354026,2.7569999999999997,63.74,10.89,0.255,0.02737,105.5,2.615,51.0793,3.1,99.86
10464078.01,FALSE POSITIVE,0.0,36.72,96.2,41.71,0.048,0.05309,320.9,7.435,19.404,7.67,320.1
10480982.01,FALSE POSITIVE,0.9534625892456052,2.963,905.8,199.9,0.0,0.00122,2174.0,-0.5968,19.2214,38.01,1806.0
10480982.02,FALSE POSITIVE,0.9551590271378507,1.507,2.505,18.7,0.0,0.2286,11.99,0.8858,2.03749,1.2209999999999999,13.03
10485250.01,FALSE POSITIVE,0.0,11.91,43.97,29.04,0.0,0.03282,258.8,5.694,16.4698,8.112,237.6
10526549.01,CONFIRMED,0.0,1.827,40.51,5.996,0.037000000000000005,0.0287,71.48,1.694,9.27358,2.8560000000000003,77.26
10583066.01,CONFIRMED,0.0,2.926,36.55,10.96,0.77,0.0534,52.37,1.6119999999999999,6.0293,3.197,62.79
10583180.01,FALSE POSITIVE,0.0,11.27,0.1204,29.94,0.0,0.1306,34.57,3.42,2.69636,1.8259999999999998,37.88
10601284.01,CONFIRMED,0.9539769087593667,1.79,30.88,2.142,0.002,0.06737,48.5,1.389,5.34957,3.1189999999999998,54.58
10601284.02,CONFIRMED,0.9552313036649555,2.802,16.41,-0.6534,0.46399999999999997,0.1619,22.75,1.9969999999999999,3.9410199999999995,2.097,24.9
10601284.03,CONFIRMED,0.9555330859059489,2.165,7.229,0.07649,0.013000000000000001,0.2673,9.777000000000001,0.8796,8.10897,1.53,9.95
10662202.01,CONFIRMED,0.9548637106322453,3.844,15.16,3.725,0.10300000000000001,0.1151,24.54,3.3310000000000004,21.677,2.923,27.96
10662202.02,CANDIDATE,0.9549159160783145,2.5469999999999997,5.446000000000001,6.2170000000000005,0.619,0.5378,8.173,0.45899999999999996,5.04404,1.212,9.482999999999999
10662202.03,CANDIDATE,0.9548637106322417,3.405,5.301,3.088,0.067,0.4044,7.54,0.5419,14.5167,1.547,9.232999999999999
10682541.01,CONFIRMED,0.0,2.6889999999999996,12.08,6.175,0.998,0.1131,24.28,2.13,4.9968,3.4219999999999997,26.87
11460018.01,CONFIRMED,0.0,1.996,36.21,11.34,0.0,0.04496,52.91,1.3619999999999999,4.28095,2.57,58.97
11463211.01,FALSE POSITIVE,0.0,0.8784,63.94,29.31,0.0,0.026810000000000004,130.7,-0.2392,1.50635,4.242,141.8
11493732.01,FALSE POSITIVE,0.0,3.0260000000000002,47.28,4.663,0.156,0.04608,73.1,0.9393,61.2562,13.58,76.24
11507101.01,CONFIRMED,0.0,2.86,17.38,3.892,0.0,0.07792,31.95,2.0580000000000003,38.3776,3.0780000000000003,32.8
10987985.01,CONFIRMED,0.0,2.4530000000000003,11.78,3.528,0.16699999999999998,0.08993999999999999,31.07,1.996,16.0131,3.2319999999999998,30.95
11018648.02,CONFIRMED,0.0,2.56,8.682,1.587,0.599,0.1914,14.68,1.367,91.7726,2.1430000000000002,15.39
11138155.01,CANDIDATE,0.0,2.385,393.1,58.61,0.705,0.004082,670.5,-3.049,4.95932,12.4,669.5
11152159.01,FALSE POSITIVE,0.0,5.558,-16.89,63.67,0.0,0.05773,39.75,0.8498,2.7013,4.207,47.01
