kepid_plnt,fpp_prob,fpp_score,fpp_spec_occrate
10797460.01,0.0008699999999999999,350.0,0.19399999999999998
10797460.02,7.3e-05,7.2,0.187
10848459.01,1.0,30.0,0.001
10854555.01,0.00035,230.0,0.2
10872983.01,2e-05,88.0,0.115
10872983.02,1.7e-05,1300.0,0.195
10872983.03,5.4000000000000005e-05,1700.0,0.153
6721123.01,1.0,1.9,0.001
10910878.01,5.3e-05,350.0,0.061
10910878.02,0.6,0.62,0.132
10910878.03,5e-06,49.0,0.21
11446443.01,0.015,4200.0,0.07400000000000001
10666592.01,1.4000000000000001e-05,230.0,0.057
6922244.01,6.500000000000001e-05,1300.0,0.061
10984090.02,5.5e-06,4600.0,0.115
10984090.01,6.900000000000001e-06,130.0,0.19899999999999998
10464078.01,1.0,0.81,0.055
10480982.01,0.98,530.0,0.001
10480982.02,0.00061,83.0,0.127
10485250.01,0.48,0.0052,0.053
10526549.01,7.699999999999999e-06,1100.0,0.20800000000000002
10583066.01,0.00013000000000000002,2000.0,0.192
10583180.01,1.0,0.0068,0.154
10601284.01,2.1000000000000002e-06,2500.0,0.195
10601284.02,4.4e-06,67.0,0.171
10601284.03,0.00037,57.0,0.128
10662202.01,5.7999999999999994e-05,400.0,0.217
10662202.02,0.31,85.0,0.095
10662202.03,0.017,56.0,0.11199999999999999
10682541.01,0.0013,1200.0,0.205
11460018.01,8.400000000000001e-06,3800.0,0.196
11463211.01,0.0047,530.0,0.055
11493732.01,0.99,3.8,0.001
11507101.01,3.5e-05,21.0,0.19899999999999998
10987985.01,9.699999999999999e-06,69.0,0.20800000000000002
11018648.02,0.23,1.9,0.21899999999999997
11138155.01,0.017,610.0,0.07200000000000001
11152159.01,1.0,2.4,0.001
11153539.01,2.5e-06,620.0,0.20800000000000002
11242721.01,0.017,39.0,0.07400000000000001
9579641.01,7.7e-05,910.0,0.195
9579641.02,2.5e-05,740.0,0.166
11304958.01,0.01,4.8,0.078
11391957.01,9.2e-05,550.0,0.203
11403044.01,1.7e-07,1200.0,0.063
11414511.01,0.00058,3400.0,0.069
11442465.01,1.0,1.0,0.053
12110942.01,2.5e-05,980.0,0.204
12366084.01,3.7000000000000006e-06,700.0,0.174
12366084.02,0.0014,180.0,0.10099999999999999
12404086.01,1.4000000000000001e-05,110.0,0.188
8395660.01,8.4e-05,1300.0,0.212
8395660.02,5.0999999999999995e-06,42.0,0.205
8395660.04,0.00023999999999999998,0.77,0.095
8395660.03,0.039,160.0,0.066
11656840.01,0.00085,130.0,0.055999999999999994
11754553.01,0.0025,170.0,0.213
11754553.02,1.0,1.7,0.20199999999999999
11754553.03,5.4000000000000005e-05,0.5,0.212
11812062.01,2.2e-07,2400.0,0.051
11818800.01,0.031,23.0,0.054000000000000006
11853255.01,0.0074,6500.0,0.166
11909839.01,0.00018999999999999998,52.0,0.078
11918099.01,2.8000000000000003e-05,7500.0,0.212
11918099.02,0.78,90.0,0.06
11923270.01,0.00015,270.0,0.192
11960862.01,4.900000000000001e-10,38.0,0.051
12020329.01,0.35,3.6,0.06
12066335.01,0.0017,47.0,0.207
12066335.02,0.0051,560.0,0.19
12070811.01,2.9999999999999997e-05,650.0,0.192
3120431.01,1.0,0.39,0.21
3342970.01,0.00011999999999999999,1500.0,0.096
3342970.02,1.4000000000000001e-05,68.0,0.098
12470844.01,8.3e-06,520.0,0.201
12470844.02,0.00021,13.0,0.201
12644822.01,0.0008,75.0,0.053
2445129.01,0.99,58.0,0.07200000000000001
2713049.01,2e-05,4100.0,0.213
3114167.01,0.00062,1100.0,0.147
3115833.01,0.16,24.0,0.061
4139816.02,6.3e-06,88.0,0.21899999999999997
4139816.03,0.00018,2.5,0.214
4139816.04,0.0069,350.0,0.127
