# Kepler ID, Theta 1, Theta 2
005297298,1.000,0.800
004275191,1.000,0.699
003351888,1.000,0.799
003935914,1.000,0.699
008219268,1.000,0.811
010723750,1.000,0.800
009818381,1.000,0.814
008552719,1.000,0.797
005780885,1.000,0.782
007869917,1.000,0.795
010418224,1.000,0.800
007515679,1.000,0.799
007199397,1.000,0.797
003937519,1.000,0.814
003762468,1.000,0.782
010386922,1.000,0.797
004472818,1.000,0.770
003847907,1.000,0.814
007132798,1.000,0.830
010795103,1.000,0.800
012403119,1.000,0.790
010352938,1.000,0.807
002581316,1.000,0.790
005039228,1.000,0.812
005812701,1.000,0.790
005728139,1.000,0.800
011295426,1.000,0.812
003642741,1.000,0.797
010019708,1.000,0.782
004349452,1.000,0.813
011253827,1.000,0.723
004742414,1.000,0.800
010878263,1.000,0.814
007950644,1.000,0.782
009702072,1.000,0.831
004366923,1.000,0.699
006462863,1.000,0.800
011554435,1.000,0.814
009941662,1.000,0.800
010864656,1.000,0.796
011623629,1.000,0.799
004833421,1.000,0.800
008156120,1.000,0.799
009480189,1.000,0.798
007303287,1.000,0.571
010272640,1.000,0.782
008478994,1.000,0.820
008292840,1.000,0.819
010723750,1.000,0.801
007434875,1.000,0.811
010002866,1.000,0.806
011773022,1.000,0.799
008456679,1.000,0.831
010925104,1.000,0.814
005881688,1.000,0.815
005436502,1.000,0.800
003632418,1.000,0.818
005780460,1.000,0.800
007849854,1.000,0.699
007109675,1.000,0.699
009479273,1.000,0.802
006462863,0.999,0.800
007277317,0.999,0.799
007529266,0.999,0.800
010982872,0.999,0.812
006705142,0.999,0.814
006152974,0.999,0.799
003453214,0.999,0.699
004249725,0.999,0.829
004157325,0.999,0.815
009451706,0.999,0.799
011547513,0.999,0.820
008030148,0.999,0.803
006786037,0.999,0.802
008552719,0.999,0.823
006029239,0.999,0.826
011853905,0.999,0.811
008056665,0.999,0.824
005866724,0.998,0.818
007050989,0.998,0.821
009450647,0.998,0.810
011960862,0.998,0.807
010937029,0.998,0.806
006305192,0.998,0.806
008751933,0.998,0.785
005371776,0.998,0.804
004150804,0.998,0.797
009946525,0.998,0.815
004636578,0.998,0.811
007899070,0.998,0.800
005094751,0.997,0.812
008240797,0.997,0.817
007419318,0.997,0.821
007050989,0.997,0.816
009597806,0.997,0.819
007670943,0.997,0.795
009884104,0.997,0.814
005866724,0.997,0.802
002853780,0.997,0.796
011754553,0.997,0.620
008395660,0.997,0.811
009517393,0.997,0.797
008822216,0.996,0.832
008805348,0.996,0.810
005866724,0.996,0.810
007764367,0.996,0.810
005374838,0.996,0.794
006541920,0.996,0.805
005812960,0.996,0.764
010875245,0.996,0.809
008822366,0.995,0.801
009527915,0.995,0.798
008738735,0.995,0.803
009002278,0.995,0.829
011071200,0.995,0.799
011512246,0.995,0.809
005131180,0.995,0.805
006937692,0.995,0.813
010187017,0.995,0.800
007220429,0.995,0.818
009875711,0.995,0.806
006541920,0.995,0.809
006849310,0.995,0.818
006021275,0.995,0.797
003656121,0.995,0.796
012068975,0.995,0.808
008349582,0.994,0.809
002692377,0.994,0.753
005437945,0.994,0.797
010873260,0.994,0.796
002860866,0.994,0.799
009766437,0.994,0.797
007269974,0.994,0.829
006587002,0.993,0.800
012061222,0.993,0.825
006462863,0.993,0.797
006541920,0.993,0.828
012735740,0.993,0.787
003839488,0.993,0.807
010910878,0.992,0.809
005371776,0.992,0.812
010717241,0.992,0.818
012404305,0.992,0.809
011086270,0.992,0.807
008041216,0.992,0.815
006022556,0.992,0.754
009478990,0.992,0.790
009631762,0.991,0.813
008265218,0.991,0.825
004914423,0.991,0.811
009271752,0.991,0.817
003219995,0.991,0.795
011192998,0.991,0.829
009590976,0.991,0.808
006838050,0.991,0.817
010600261,0.991,0.810
007287995,0.991,0.828
003859079,0.990,0.818
011026582,0.990,0.796
003531558,0.990,0.810
008218379,0.990,0.816
008161561,0.990,0.816
004833421,0.990,0.810
006125481,0.990,0.795
010552611,0.990,0.818
008628758,0.990,0.815
007419318,0.990,0.807
008292840,0.990,0.809
010843590,0.990,0.814
008121310,0.990,0.799
009884104,0.989,0.802
005531694,0.989,0.812
010724369,0.989,0.796
005966154,0.989,0.798
005358241,0.989,0.812
010905239,0.989,0.808
003353050,0.988,0.803
011259686,0.988,0.802
006291653,0.988,0.648
010933561,0.988,0.797
005128673,0.988,0.798
005299459,0.988,0.809
006850504,0.988,0.818
011442793,0.988,0.801
006541920,0.988,0.798
008625925,0.988,0.816
008017703,0.988,0.829
010593626,0.987,0.806
006528464,0.987,0.798
004813563,0.987,0.815
006381846,0.987,0.769
008689373,0.987,0.796
011403044,0.987,0.755
010271806,0.987,0.730
003964109,0.987,0.794
004841374,0.986,0.797
007115785,0.986,0.799
008883593,0.986,0.813
006468138,0.986,0.802
010290666,0.986,0.810
006665695,0.986,0.817
012600735,0.986,0.810
012058931,0.986,0.800
011802615,0.986,0.810
011568987,0.986,0.810
005966322,0.986,0.803
009886255,0.986,0.796
011758544,0.986,0.816
011673802,0.985,0.796
008013439,0.985,0.792
007449136,0.985,0.792
010867062,0.985,0.799
011823054,0.985,0.819
008107380,0.985,0.805
007445445,0.985,0.810
009820483,0.985,0.809
006946199,0.984,0.797
008008067,0.984,0.815
009656252,0.984,0.794
003629967,0.984,0.794
006541920,0.984,0.810
008950853,0.984,0.803
004757437,0.983,0.809
011361646,0.983,0.807
009597345,0.983,0.812
010187017,0.983,0.798
007629518,0.983,0.797
011905011,0.983,0.814
004049131,0.983,0.798
002989404,0.983,0.822
007033671,0.983,0.795
008017703,0.983,0.807
010982872,0.983,0.829
012252424,0.983,0.833
009965439,0.983,0.804
007115785,0.983,0.820
005202905,0.983,0.821
008692861,0.982,0.806
006528464,0.982,0.804
004155328,0.982,0.797
009570741,0.982,0.810
007841925,0.982,0.804
005444548,0.982,0.811
010454313,0.982,0.829
010004519,0.982,0.795
003109930,0.981,0.795
011192998,0.981,0.817
004141376,0.981,0.826
008494410,0.981,0.797
010910878,0.981,0.810
008282846,0.981,0.752
005966154,0.981,0.802
008962094,0.981,0.817
009022166,0.981,0.812
005120087,0.981,0.796
006960913,0.981,0.808
006693640,0.980,0.800
006347299,0.980,0.790
010872983,0.980,0.805
006541920,0.980,0.804
012834874,0.980,0.823
009347899,0.979,0.828
010285631,0.979,0.792
003239945,0.979,0.829
010002866,0.979,0.816
003847138,0.979,0.807
008344004,0.979,0.818
008689373,0.979,0.818
004563268,0.979,0.811
011073351,0.979,0.815
011015323,0.979,0.809
007286173,0.979,0.807
006058816,0.979,0.795
005959753,0.979,0.825
006863998,0.979,0.822
008193178,0.978,0.802
009304101,0.978,0.805
004760478,0.978,0.793
008478994,0.978,0.823
009022166,0.978,0.798
010526549,0.978,0.817
009100484,0.978,0.819
011295426,0.978,0.814
003247268,0.978,0.828
008043638,0.978,0.809
005340644,0.978,0.816
009451706,0.978,0.796
007831264,0.977,0.814
011512246,0.977,0.800
005438099,0.977,0.804
007375795,0.977,0.808
008494142,0.977,0.824
002721030,0.977,0.812
010001368,0.977,0.796
008414716,0.977,0.815
011402995,0.977,0.814
011086270,0.976,0.799
006365156,0.976,0.804
008547140,0.976,0.820
002989404,0.976,0.819
011754430,0.976,0.812
009823487,0.975,0.811
004262581,0.975,0.805
004165473,0.975,0.810
005735762,0.975,0.827
008972058,0.975,0.804
008804397,0.975,0.812
005735762,0.975,0.810
004072526,0.975,0.797
006266741,0.975,0.815
007134976,0.975,0.812
011497977,0.975,0.815
010965008,0.974,0.817
004939346,0.974,0.796
011074541,0.974,0.799
005272878,0.974,0.824
010460984,0.974,0.820
010748390,0.974,0.798
012024120,0.974,0.824
008890783,0.974,0.821
006803202,0.974,0.811
008543100,0.974,0.810
010136549,0.973,0.796
008804283,0.973,0.806
011669239,0.973,0.803
005184584,0.973,0.802
010934674,0.973,0.793
006422155,0.973,0.823
004249725,0.973,0.807
010289119,0.973,0.795
011507101,0.972,0.798
007512982,0.972,0.796
009458613,0.972,0.809
009941859,0.972,0.818
009530945,0.972,0.803
008628973,0.972,0.832
009002278,0.972,0.812
004951877,0.972,0.808
008609450,0.972,0.797
007668663,0.972,0.807
010545066,0.972,0.798
005480640,0.971,0.802
008158127,0.971,0.798
008395660,0.971,0.829
002853093,0.971,0.798
006105462,0.971,0.804
009334289,0.971,0.823
003642289,0.971,0.804
008222813,0.971,0.817
010063802,0.971,0.803
004149450,0.971,0.818
012400538,0.971,0.795
010055126,0.970,0.810
006289650,0.970,0.788
007207061,0.970,0.809
008162789,0.970,0.823
006266741,0.970,0.822
008247638,0.970,0.805
006587002,0.970,0.813
005121511,0.970,0.823
011254382,0.970,0.829
008242434,0.970,0.801
005374854,0.969,0.809
008845205,0.969,0.829
008280511,0.969,0.808
008226994,0.969,0.818
006862328,0.969,0.787
008174625,0.969,0.818
012068975,0.969,0.810
009950612,0.969,0.791
012020218,0.968,0.812
003831053,0.968,0.810
010875245,0.968,0.801
004455231,0.968,0.795
008636434,0.968,0.799
003641726,0.968,0.818
008081187,0.968,0.801
011037335,0.968,0.808
009072190,0.968,0.808
002438264,0.968,0.802
011611600,0.968,0.821
009651234,0.967,0.798
011342416,0.967,0.796
011090765,0.967,0.806
008700771,0.967,0.802
011709124,0.967,0.814
007626506,0.967,0.818
010600261,0.967,0.796
009076513,0.967,0.818
010010440,0.967,0.801
008609450,0.967,0.798
010854555,0.967,0.817
004270253,0.967,0.816
011358389,0.967,0.793
009111849,0.967,0.798
008564976,0.966,0.800
007265298,0.966,0.806
009411166,0.966,0.791
010987985,0.966,0.793
004664847,0.966,0.811
012404086,0.966,0.800
004544907,0.966,0.793
009455556,0.965,0.815
011450414,0.965,0.794
009823457,0.964,0.816
010152836,0.964,0.814
006442340,0.964,0.793
007198587,0.964,0.811
009950612,0.964,0.810
005978361,0.964,0.827
007375348,0.963,0.801
010136549,0.963,0.821
010005020,0.963,0.820
009964801,0.963,0.816
010513530,0.963,0.816
010794087,0.963,0.797
003240158,0.963,0.809
003939150,0.962,0.795
009904006,0.962,0.805
011192998,0.962,0.824
011954842,0.962,0.821
005965819,0.961,0.790
011442793,0.961,0.782
011250587,0.961,0.800
007119481,0.960,0.793
007825899,0.960,0.790
005794379,0.960,0.809
003745690,0.960,0.800
004741126,0.960,0.800
010130039,0.959,0.820
009147029,0.959,0.813
007098355,0.959,0.806
012366084,0.959,0.815
011566064,0.959,0.812
007456001,0.959,0.802
009347899,0.959,0.819
009825625,0.959,0.799
007755636,0.959,0.802
009002278,0.959,0.829
007211141,0.958,0.791
005364071,0.958,0.761
005009743,0.958,0.805
011043167,0.958,0.810
009896558,0.958,0.805
005438099,0.958,0.812
007366258,0.958,0.818
005706966,0.957,0.814
006267535,0.957,0.793
009823457,0.957,0.801
003447722,0.956,0.807
007898352,0.956,0.813
003656121,0.956,0.791
007219825,0.956,0.803
009765975,0.956,0.794
004157325,0.956,0.824
009726659,0.956,0.810
002304320,0.956,0.808
006268648,0.956,0.809
006425957,0.956,0.829
012058204,0.955,0.810
003446746,0.955,0.812
006432345,0.955,0.793
001871056,0.955,0.801
003833007,0.955,0.805
008022244,0.955,0.813
002693736,0.955,0.815
010016874,0.955,0.813
009775938,0.955,0.816
011460018,0.955,0.821
003939150,0.955,0.803
012505076,0.954,0.798
010272442,0.954,0.808
005088536,0.954,0.801
006383821,0.954,0.800
011075737,0.954,0.818
003966801,0.953,0.809
009415172,0.953,0.812
006383785,0.953,0.807
002854914,0.953,0.800
003218908,0.953,0.801
005436502,0.953,0.791
010984090,0.953,0.803
011153121,0.953,0.798
005113822,0.953,0.799
007831264,0.953,0.808
007102316,0.953,0.805
007040629,0.952,0.826
006587280,0.952,0.764
003118797,0.952,0.791
011669125,0.952,0.800
006049190,0.952,0.806
012206313,0.952,0.804
007504778,0.952,0.805
009787239,0.952,0.793
004349452,0.952,0.825
004180280,0.952,0.779
009649706,0.952,0.824
007870390,0.952,0.825
008394721,0.952,0.818
008394721,0.952,0.803
006932987,0.951,0.810
012105051,0.951,0.696
006678383,0.951,0.798
008008067,0.951,0.798
011521793,0.951,0.802
005124667,0.951,0.799
011773022,0.951,0.787
007445445,0.951,0.821
010743597,0.951,0.799
005735762,0.951,0.822
012470954,0.951,0.829
009662811,0.951,0.800
011015108,0.950,0.800
009480535,0.950,0.808
005613330,0.950,0.805
010810838,0.950,0.824
009579641,0.950,0.821
009391506,0.950,0.802
006948054,0.949,0.814
010384798,0.949,0.788
005021899,0.949,0.812
009941859,0.949,0.804
007021681,0.949,0.806
005461440,0.949,0.812
006543893,0.949,0.821
010189546,0.949,0.798
005456651,0.949,0.821
011027624,0.949,0.799
009020160,0.949,0.809
010470206,0.949,0.800
011360571,0.949,0.790
003116412,0.948,0.806
011852982,0.948,0.521
007047922,0.948,0.802
009605514,0.948,0.798
009579641,0.948,0.821
006428794,0.948,0.802
008162790,0.948,0.815
003869014,0.948,0.800
010019643,0.948,0.809
006356692,0.948,0.800
009458613,0.948,0.801
006707833,0.948,0.806
004913852,0.948,0.830
007603200,0.948,0.817
010134152,0.947,0.799
003548044,0.947,0.803
005383248,0.947,0.808
008869680,0.947,0.801
009946525,0.947,0.820
005956342,0.947,0.791
009406990,0.947,0.806
011153539,0.947,0.798
009763348,0.947,0.808
006851425,0.947,0.819
002579043,0.946,0.802
012206313,0.946,0.802
010549023,0.946,0.805
003342970,0.946,0.793
009532710,0.946,0.789
007207061,0.946,0.802
009729691,0.946,0.811
011656721,0.946,0.817
002442448,0.946,0.807
011127479,0.946,0.819
010212441,0.946,0.799
009710326,0.945,0.814
009823519,0.945,0.802
010395381,0.945,0.803
005689351,0.945,0.808
007977197,0.945,0.792
004852528,0.945,0.812
009892816,0.945,0.798
010713616,0.945,0.813
007908367,0.945,0.744
008017703,0.944,0.801
003442055,0.944,0.823
004074736,0.944,0.818
008866102,0.944,0.801
007364176,0.944,0.798
009244508,0.944,0.808
009589524,0.944,0.818
006766634,0.943,0.648
006451936,0.943,0.809
008381204,0.943,0.803
010990886,0.943,0.826
006521045,0.943,0.809
008410727,0.943,0.805
004636578,0.943,0.808
007825899,0.943,0.808
010663396,0.943,0.798
009881662,0.942,0.805
010271806,0.942,0.795
011030711,0.942,0.807
005438099,0.942,0.808
010599206,0.942,0.792
007549209,0.942,0.806
006678383,0.942,0.801
009146018,0.942,0.822
009388479,0.942,0.830
008125580,0.941,0.809
011304958,0.941,0.793
002557816,0.941,0.806
009590976,0.941,0.810
007211221,0.941,0.822
011337372,0.941,0.816
008355239,0.941,0.812
003114811,0.941,0.801
011621223,0.940,0.820
009636135,0.940,0.798
003342970,0.940,0.804
010587105,0.939,0.833
011760231,0.939,0.807
010928043,0.939,0.823
005857656,0.939,0.808
008978528,0.939,0.790
005631630,0.939,0.798
004139816,0.939,0.804
002832589,0.939,0.715
010122255,0.938,0.802
009451706,0.938,0.800
009886361,0.938,0.811
010528068,0.938,0.798
004478168,0.938,0.809
010005758,0.938,0.762
006889235,0.938,0.800
011013201,0.938,0.800
003544595,0.937,0.822
012058147,0.937,0.802
008703884,0.937,0.807
008056665,0.937,0.800
005438757,0.937,0.744
011193263,0.937,0.801
009872292,0.937,0.773
006359320,0.937,0.804
007938496,0.937,0.804
011336883,0.937,0.816
009353742,0.936,0.820
008565266,0.936,0.759
009642292,0.936,0.798
004914423,0.936,0.798
010352945,0.936,0.798
003541946,0.936,0.811
009458613,0.936,0.802
010426656,0.935,0.811
012257999,0.935,0.809
004454934,0.935,0.794
005965819,0.935,0.789
010964440,0.935,0.801
006289257,0.935,0.817
007678434,0.935,0.798
006707835,0.935,0.810
005289854,0.934,0.792
002438264,0.934,0.758
011297236,0.934,0.796
012602568,0.934,0.815
002571238,0.934,0.822
010386984,0.934,0.828
001871056,0.934,0.798
004847534,0.934,0.817
012252424,0.933,0.784
009458613,0.933,0.798
010709622,0.933,0.793
002165002,0.933,0.795
010984090,0.933,0.829
009818462,0.933,0.797
008007644,0.933,0.795
010925104,0.933,0.815
003114167,0.932,0.824
010585852,0.932,0.804
008616637,0.931,0.752
003662838,0.931,0.798
010577994,0.931,0.809
004644604,0.931,0.825
008494617,0.931,0.789
006784235,0.931,0.833
006021193,0.931,0.802
008613535,0.931,0.789
008240904,0.931,0.791
005511081,0.930,0.798
009782691,0.930,0.761
006685609,0.930,0.809
006678383,0.930,0.797
006105462,0.930,0.797
005526717,0.930,0.800
001873513,0.930,0.697
011133306,0.929,0.800
008120608,0.929,0.800
004650674,0.929,0.780
007449541,0.929,0.814
004757437,0.928,0.811
007287683,0.928,0.803
008802165,0.928,0.815
008491277,0.928,0.815
009512687,0.927,0.746
010019065,0.927,0.806
008226050,0.927,0.792
005621125,0.927,0.800
005905822,0.927,0.802
007679812,0.927,0.797
010426656,0.926,0.808
003962243,0.926,0.789
008552202,0.926,0.816
010460984,0.926,0.811
008175131,0.926,0.765
006387542,0.926,0.796
010404582,0.926,0.779
004852528,0.926,0.830
005094751,0.925,0.799
008107225,0.925,0.827
007901948,0.925,0.799
009607164,0.925,0.821
003632089,0.925,0.802
011014932,0.925,0.776
