rowid,kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
1,5596440,K00648.01,10.475,147.58,1,86,0.001,1035,0.5,0.17,0.69,0.014,0.034,0.085,0.0048,0.867,6473,102.97,-154.88,1.56,0.776,-0.275,1.34,0.243,-0.126,9.32,0.11,-0.128,889,428.59,-159.97,0.23,0.051,-0.104
2,5613330,K00649.01,23.45,2.39,0.0000014,27,0.203,32,0.81,1.2E-09,5.1E-09,0.0000013,1.8E-11,4.3E-12,9.9E-09,0.016,6174,72.86,-82.02,1.5,0.195,-0.147,1.33,0.063,-0.05,9.36,0.081,-0.132,822,103.67,-80.92,0.22,0.051,-0.067
3,5786676,K00650.01,11.955,2.26,0.0017,30,0.07,56,0.5,0.0012,0.000000065,0.00045,3.1E-11,0.000036,0.000001,0.027,5092,36.59,-39.2,1.74,0.103,-0.079,0.97,0.035,-0.021,10.13,0.03,-0.06,717,43.19,-32.08,0.2,0.027,-0.037
4,5796186,K00651.01,42.559,6.5,0.025,18,0.052,199,0.5,0.0012,0.0072,0.0045,0.0013,0.011,0.00018,0.053,6047,193.49,-190.65,1.13,0.305,-0.145,1.08,0.125,-0.079,9.5,0.218,-0.268,775,209.31,-105.75,0.23,0.131,-0.145
5,5796675,K00652.01,16.081,4.3,0.00019,360,0.092,77,0.5,0.000016,0.000083,0.000091,7.4E-14,2.6E-17,7.5E-09,0.051,5205,57.81,-74.59,0.8,0.022,-0.023,0.85,0.032,-0.04,9.7,0.212,-0.321,341,10.76,-11.53,0.35,0.055,-0.087
6,5893123,K00653.01,1.126,1.87,0.56,49,0.219,55,0.5,0.0021,0.0011,0.098,0.015,0.086,0.36,0.011,6537,284.24,-306.49,1.58,0.659,-0.343,1.35,0.235,-0.191,9.3,0.181,-0.139,1150,477.26,-257.88,0.38,0.179,-0.195
7,5941160,K00654.01,8.595,2.53,0.073,2.6,0.219,58,0.5,0.00000025,0.019,0.021,0.00098,0.025,0.0057,0.021,5776,82.54,-69.19,0.96,0.064,-0.053,0.98,0.042,-0.045,9.54,0.242,-0.298,659,45.29,-39,0.08,0.074,-0.053
8,5941160,K00654.02,10.222,1.75,0.069,190,0.144,92,0.84,0.0036,0.025,0.015,0.0075,0.011,0.0057,0.014,5776,82.54,-69.19,0.96,0.064,-0.053,0.98,0.042,-0.045,9.54,0.242,-0.298,659,45.29,-39,0.08,0.074,-0.053
9,5966154,K00655.01,25.672,2.76,0.00000066,89,0.204,34,0.57,3.7E-10,0.000000013,0.00000061,1.5E-10,0.00000002,0.000000012,0.02,6148,68.96,-56.25,1.21,0.084,-0.062,1.18,0.036,-0.034,9.35,0.164,-0.183,613,42.92,-33.58,0.03,0.04,-0.022
10,5966154,K00655.02,151.886,2.34,0.000049,4.1,0.217,58,1.08,0.0000022,0.000026,0.000022,3.8E-12,0.000000029,5.1E-09,0.017,6148,68.96,-56.25,1.21,0.084,-0.062,1.18,0.036,-0.034,9.35,0.164,-0.183,613,42.92,-33.58,0.03,0.04,-0.022
11,5966660,K00656.01,1.907,5.08,1,1.1,0.054,60,0.5,0.0019,0.026,0.26,0.039,0.67,0.00023,0.027,6673,235.34,-193.52,1.71,0.613,-0.32,1.43,0.198,-0.161,9.24,0.117,-0.108,1163,404.24,-227.37,0.18,0.144,-0.119
12,6020753,K00657.01,4.069,1.94,0.000035,5200,0.193,87,0.5,1.8E-09,0.00000015,0.000034,0.00000029,0.00000061,0.000000033,0.024,4788,58.99,-41.6,0.73,0.013,-0.017,0.78,0.023,-0.028,9.51,0.274,-0.274,302,7.03,-8.11,0.07,0.085,-0.05
13,6020753,K00657.02,16.282,2.1,0.0029,32,0.206,89,0.51,1.6E-10,0.00019,0.0023,0.0000031,0.00038,0.000071,0.026,4788,58.99,-41.6,0.73,0.013,-0.017,0.78,0.023,-0.028,9.51,0.274,-0.274,302,7.03,-8.11,0.07,0.085,-0.05
14,6062088,K00658.01,3.163,2.34,0.000012,750,0.207,30,0.5,0.00000084,2.8E-09,0.0000054,0.000006,8.9E-09,0.000000018,0.022,5794,101.87,-91.42,1.03,0.115,-0.084,1,0.045,-0.043,9.75,0.15,-0.339,697,79.86,-57.47,0.15,0.087,-0.082
15,6062088,K00658.02,5.371,2.24,0.00003,2300,0.212,38,0.5,0.000000092,6.3E-09,0.000027,0.0000021,0.000000054,0.00000032,0.021,5794,101.87,-91.42,1.03,0.115,-0.084,1,0.045,-0.043,9.75,0.15,-0.339,697,79.86,-57.47,0.15,0.087,-0.082
16,6062088,K00658.03,11.33,1.29,0.0047,180,0.137,52,2.4,7.2E-12,0.0000046,0.0041,0.0000074,0.0000041,0.00054,0.012,5794,101.87,-91.42,1.03,0.115,-0.084,1,0.045,-0.043,9.75,0.15,-0.339,697,79.86,-57.47,0.15,0.087,-0.082
17,6125481,K00659.01,23.206,2.99,0.000013,1.6,0.08,49,0.66,2.3E-11,0.00000002,0.000012,1.4E-29,1.2E-31,0.00000047,0.017,6094,48.07,-45.51,2.55,0.268,-0.291,1.63,0.074,-0.093,9.34,0.062,-0.053,1564,167.54,-177.06,0.01,0.019,-0.008
18,6267535,K00660.01,6.08,1.61,1.6E-12,4.4,0.185,19,0.5,2.4E-23,3.8E-42,1.4E-12,1.5E-13,3.4E-16,2.6E-26,0.018,5376,53.17,-62.19,0.91,0.089,-0.072,0.88,0.032,-0.033,10.02,0.116,-0.449,414,42.04,-32.75,0.19,0.034,-0.067
19,6347299,K00661.01,14.401,2.25,0.000068,180,0.21,54,0.57,0.000016,0.00000094,0.0000056,0.00000012,0.000045,0.000000074,0.02,5868,72.22,-64.68,1.11,0.189,-0.118,1.03,0.04,-0.042,9.75,0.114,-0.289,765,131.32,-80.67,0.06,0.063,-0.042
20,6347299,K00661.02,25.662,1.35,0.0035,38,0.148,74,1.26,0.0000048,0.000039,0.0013,0.00028,0.0012,0.00076,0.012,5868,72.22,-64.68,1.11,0.189,-0.118,1.03,0.04,-0.042,9.75,0.114,-0.289,765,131.32,-80.67,0.06,0.063,-0.042
21,6365156,K00662.01,10.214,2.13,0.00012,170,0.211,20,0.5,0.000063,0.000039,0.000019,0.000000051,3.1E-10,3.8E-10,0.017,5899,76.38,-63.02,1.3,0.246,-0.184,1.14,0.088,-0.055,9.64,0.123,-0.21,687,129.31,-98.53,0.09,0.071,-0.056
